"ID";"RegioS";"Perioden";"WoningvoorraadBeginPeriode_1";"WoningvoorraadToevoegingTotaal_2";"WoningvoorraadToevoegingDoorNieuwbouw_3";"WoningvoorraadToevoegingAnderszins_4";"WoningvoorraadSaldoVermeerdering_14";"WoningvoorraadAdministratieveCorrectie_15";"WoningvoorraadEindePeriode_16"
"487";"PV20  ";"2007KW03";"248560";"660";"648";"12";"241";"0";"248801"
"488";"PV20  ";"2007KW04";"248801";"1178";"867";"311";"791";"-8";"249584"
"489";"PV20  ";"2007JJ00";"248371";"2512";"2147";"365";"1221";"-8";"249584"
"490";"PV20  ";"2008KW01";"250383";"301";"298";"3";"171";"0";"250554"
"491";"PV20  ";"2008KW02";"250554";"557";"550";"7";"217";"0";"250771"
"492";"PV20  ";"2008KW03";"250771";"878";"804";"74";"460";"0";"251231"
"493";"PV20  ";"2008KW04";"251231";"1398";"1332";"66";"1003";"-92";"252142"
"494";"PV20  ";"2008JJ00";"250383";"3134";"2984";"150";"1851";"-92";"252142"
"495";"PV20  ";"2009KW01";"252142";"458";"450";"8";"252";"0";"252394"
"496";"PV20  ";"2009KW02";"252394";"532";"475";"57";"399";"0";"252793"
"497";"PV20  ";"2009KW03";"252793";"518";"502";"16";"424";"0";"253217"
"498";"PV20  ";"2009KW04";"253217";"1342";"1282";"60";"726";"41";"253984"
"499";"PV20  ";"2009JJ00";"252142";"2850";"2709";"141";"1801";"41";"253984"
"500";"PV20  ";"2010KW01";"253984";"135";"124";"11";"-138";"0";"253846"
"501";"PV20  ";"2010KW02";"253846";"371";"337";"34";"228";"0";"254074"
"502";"PV20  ";"2010KW03";"254074";"198";"192";"6";"47";"0";"254121"
"503";"PV20  ";"2010KW04";"254121";"934";"886";"48";"587";"-31";"254677"
"504";"PV20  ";"2010JJ00";"253984";"1638";"1539";"99";"724";"-31";"254677"
"505";"PV20  ";"2011KW01";"254677";"392";"163";"229";"57";"0";"254734"
"506";"PV20  ";"2011KW02";"254734";"829";"715";"114";"634";"0";"255368"
"507";"PV20  ";"2011KW03";"255368";"281";"251";"30";"204";"0";"255572"
"508";"PV20  ";"2011KW04";"255572";"852";"754";"98";"626";"-241";"255957"
"509";"PV20  ";"2011JJ00";"254677";"2354";"1883";"471";"1521";"-241";"255957"
"510";"PV21  ";"1995KW01";"247030";"900";"838";"62";"672";"0";"247702"
"511";"PV21  ";"1995KW02";"247702";"811";"774";"37";"713";"0";"248415"
"512";"PV21  ";"1995KW03";"248415";"810";"772";"38";"639";"0";"249054"
"513";"PV21  ";"1995KW04";"249054";"1563";"1396";"167";"1374";"-95";"250333"
"514";"PV21  ";"1995JJ00";"247030";"4084";"3780";"304";"3398";"-95";"250333"
"515";"PV21  ";"1996KW01";"250333";"479";"466";"13";"402";"0";"250735"
"516";"PV21  ";"1996KW02";"250735";"743";"694";"49";"633";"0";"251368"
"517";"PV21  ";"1996KW03";"251368";"805";"786";"19";"713";"0";"252081"
"518";"PV21  ";"1996KW04";"252081";"1192";"1131";"61";"1031";"21";"253133"
"519";"PV21  ";"1996JJ00";"250333";"3219";"3077";"142";"2779";"21";"253133"
"520";"PV21  ";"1997KW01";"253133";"583";"550";"33";"442";"0";"253575"
"521";"PV21  ";"1997KW02";"253575";"830";"813";"17";"651";"0";"254226"
"522";"PV21  ";"1997KW03";"254226";"946";"926";"20";"896";"0";"255122"
"523";"PV21  ";"1997KW04";"255122";"1415";"1302";"113";"1250";"-28";"256344"
"524";"PV21  ";"1997JJ00";"253133";"3774";"3591";"183";"3239";"-28";"256344"
"525";"PV21  ";"1998KW01";"256345";"569";"548";"21";"516";"0";"256861"
"526";"PV21  ";"1998KW02";"256861";"886";"858";"28";"798";"0";"257659"
"527";"PV21  ";"1998KW03";"257659";"683";"677";"6";"602";"0";"258261"
"528";"PV21  ";"1998KW04";"258261";"1428";"1234";"194";"1274";"-41";"259494"
"529";"PV21  ";"1998JJ00";"256345";"3566";"3317";"249";"3190";"-41";"259494"
"530";"PV21  ";"1999KW01";"259494";"375";"365";"10";"315";"0";"259809"
"531";"PV21  ";"1999KW02";"259809";"723";"694";"29";"465";"0";"260274"
"532";"PV21  ";"1999KW03";"260274";"870";"833";"37";"688";"0";"260962"
"533";"PV21  ";"1999KW04";"260962";"1300";"1182";"118";"1008";"-121";"261849"
"534";"PV21  ";"1999JJ00";"259494";"3268";"3074";"194";"2476";"-121";"261849"
"535";"PV21  ";"2000KW01";"261849";"328";"309";"19";"225";"0";"262074"
"536";"PV21  ";"2000KW02";"262074";"557";"544";"13";"488";"0";"262562"
"537";"PV21  ";"2000KW03";"262562";"515";"510";"5";"455";"0";"263017"
"538";"PV21  ";"2000KW04";"263017";"1208";"1140";"68";"1053";"45";"264115"
"539";"PV21  ";"2000JJ00";"261849";"2608";"2503";"105";"2221";"45";"264115"
"540";"PV21  ";"2001KW01";"264115";"352";"335";"17";"244";"0";"264359"
"541";"PV21  ";"2001KW02";"264359";"674";"664";"10";"560";"0";"264919"
"542";"PV21  ";"2001KW03";"264919";"595";"585";"10";"508";"0";"265427"
"543";"PV21  ";"2001KW04";"265427";"1143";"1117";"26";"880";"38";"266345"
"544";"PV21  ";"2001JJ00";"264115";"2764";"2701";"63";"2192";"38";"266345"
"545";"PV21  ";"2002KW01";"266345";"310";"297";"13";"275";"0";"266620"
"546";"PV21  ";"2002KW02";"266620";"465";"451";"14";"316";"0";"266936"
"547";"PV21  ";"2002KW03";"266936";"417";"409";"8";"332";"0";"267268"
"548";"PV21  ";"2002KW04";"267268";"1245";"1142";"103";"975";"-43";"268200"
"549";"PV21  ";"2002JJ00";"266345";"2437";"2299";"138";"1898";"-43";"268200"
"550";"PV21  ";"2003KW01";"268200";"321";"286";"35";"92";"0";"268292"
"551";"PV21  ";"2003KW02";"268292";"526";"491";"35";"386";"0";"268678"
"552";"PV21  ";"2003KW03";"268678";"530";"517";"13";"345";"0";"269023"
"553";"PV21  ";"2003KW04";"269023";"576";"545";"31";"351";"4";"269378"
"554";"PV21  ";"2003JJ00";"268200";"1953";"1839";"114";"1174";"4";"269378"
"555";"PV21  ";"2004KW01";"269378";"298";"284";"14";"187";"0";"269565"
