"ID";"Gebruiksfunctie";"RegioS";"Perioden";"BeginstandVoorraad_1";"Nieuwbouw_2";"OverigeToevoeging_3";"SaldoVoorraad_7";"EindstandVoorraad_8"
"74922";"A045364";"PV24  ";"2019MM05";"170125";"288";"14";"300";"170425"
"74923";"A045364";"PV24  ";"2019MM06";"170425";"135";"10";"136";"170561"
"74924";"A045364";"PV24  ";"2019KW02";"169897";"602";"75";"664";"170561"
"74925";"A045364";"PV24  ";"2019MM07";"170561";"212";"12";"221";"170782"
"74926";"A045364";"PV24  ";"2019MM08";"170782";"253";"9";"233";"171015"
"74927";"A045364";"PV24  ";"2019MM09";"171015";"275";"4";"274";"171289"
"74928";"A045364";"PV24  ";"2019KW03";"170561";"740";"25";"728";"171289"
"74929";"A045364";"PV24  ";"2019MM10";"171289";"141";"127";"258";"171547"
"74930";"A045364";"PV24  ";"2019MM11";"171547";"271";"0";"240";"171787"
"74931";"A045364";"PV24  ";"2019MM12";"171787";"423";"21";"440";"172227"
"74932";"A045364";"PV24  ";"2019KW04";"171289";"835";"148";"938";"172227"
"74933";"A045364";"PV24  ";"2019JJ00";"169237";"2767";"328";"2988";"172227"
"74934";"A045364";"PV24  ";"2020MM01";"172227";"185";"5";"182";"172409"
"74935";"A045364";"PV24  ";"2020MM02";"172409";"75";"2";"71";"172480"
"74936";"A045364";"PV24  ";"2020MM03";"172480";"145";"16";"155";"172635"
"74937";"A045364";"PV24  ";"2020KW01";"172227";"405";"23";"408";"172635"
"74938";"A045364";"PV24  ";"2020MM04";"172635";"37";"1";"26";"172661"
"74939";"A045364";"PV24  ";"2020MM05";"172661";"325";"18";"339";"173000"
"74940";"A045364";"PV24  ";"2020MM06";"173000";"104";"3";"103";"173103"
"74941";"A045364";"PV24  ";"2020KW02";"172635";"466";"22";"468";"173103"
"74942";"A045364";"PV24  ";"2020MM07";"173103";"475";"9";"469";"173572"
"74943";"A045364";"PV24  ";"2020MM08";"173572";"256";"11";"266";"173838"
"74944";"A045364";"PV24  ";"2020MM09";"173838";"182";"4";"-75";"173763"
"74945";"A045364";"PV24  ";"2020KW03";"173103";"913";"24";"660";"173763"
"74946";"A045364";"PV24  ";"2020MM10";"173763";"223";"19";"246";"174009"
"74947";"A045364";"PV25  ";"2012MM01";"845200";"218";"5016";"4868";"850068"
"74948";"A045364";"PV25  ";"2012MM02";"850068";"199";"1112";"1130";"851199"
"74949";"A045364";"PV25  ";"2012MM03";"851199";"427";"1091";"1267";"852467"
"74950";"A045364";"PV25  ";"2012KW01";"845200";"844";"7219";"7265";"852467"
"74951";"A045364";"PV25  ";"2012MM04";"852467";"609";"249";"773";"853240"
"74952";"A045364";"PV25  ";"2012MM05";"853240";"582";"309";"675";"853915"
"74953";"A045364";"PV25  ";"2012MM06";"853915";"818";"238";"1026";"854956"
"74954";"A045364";"PV25  ";"2012KW02";"852467";"2009";"796";"2474";"854956"
"74955";"A045364";"PV25  ";"2012MM07";"854956";"441";"174";"549";"855505"
"74956";"A045364";"PV25  ";"2012MM08";"855505";"184";"219";"329";"855834"
"74957";"A045364";"PV25  ";"2012MM09";"855834";"750";"518";"1054";"856888"
"74958";"A045364";"PV25  ";"2012KW03";"854956";"1375";"911";"1932";"856888"
"74959";"A045364";"PV25  ";"2012MM10";"856888";"566";"339";"994";"857882"
"74960";"A045364";"PV25  ";"2012MM11";"857882";"986";"223";"474";"858356"
"74961";"A045364";"PV25  ";"2012MM12";"858356";"1207";"426";"1497";"859853"
"74962";"A045364";"PV25  ";"2012KW04";"856888";"2759";"988";"2965";"859853"
"74963";"A045364";"PV25  ";"2012JJ00";"845200";"6987";"9914";"14636";"859853"
"74964";"A045364";"PV25  ";"2013MM01";"859853";"462";"316";"576";"860429"
"74965";"A045364";"PV25  ";"2013MM02";"860429";"277";"158";"28";"860457"
"74966";"A045364";"PV25  ";"2013MM03";"860457";"263";"204";"240";"860697"
"74967";"A045364";"PV25  ";"2013KW01";"859853";"1002";"678";"844";"860697"
"74968";"A045364";"PV25  ";"2013MM04";"860697";"853";"288";"630";"861327"
"74969";"A045364";"PV25  ";"2013MM05";"861327";"722";"570";"1137";"862464"
"74970";"A045364";"PV25  ";"2013MM06";"862464";"472";"1908";"1783";"864248"
"74971";"A045364";"PV25  ";"2013KW02";"860697";"2047";"2766";"3550";"864248"
"74972";"A045364";"PV25  ";"2013MM07";"864248";"404";"725";"877";"865125"
"74973";"A045364";"PV25  ";"2013MM08";"865125";"583";"842";"1314";"866439"
"74974";"A045364";"PV25  ";"2013MM09";"866439";"439";"605";"854";"867293"
"74975";"A045364";"PV25  ";"2013KW03";"864248";"1426";"2172";"3045";"867293"
"74976";"A045364";"PV25  ";"2013MM10";"867293";"412";"344";"286";"867579"
"74977";"A045364";"PV25  ";"2013MM11";"867579";"587";"585";"1085";"868664"
"74978";"A045364";"PV25  ";"2013MM12";"868664";"640";"298";"746";"869410"
"74979";"A045364";"PV25  ";"2013KW04";"867293";"1639";"1227";"2117";"869410"
"74980";"A045364";"PV25  ";"2013JJ00";"859853";"6114";"6843";"9556";"869410"
"74981";"A045364";"PV25  ";"2014MM01";"869410";"667";"334";"805";"870215"
"74982";"A045364";"PV25  ";"2014MM02";"870215";"339";"548";"444";"870660"
"74983";"A045364";"PV25  ";"2014MM03";"870660";"395";"391";"680";"871340"
"74984";"A045364";"PV25  ";"2014KW01";"869410";"1401";"1273";"1929";"871340"
"74985";"A045364";"PV25  ";"2014MM04";"871340";"579";"201";"626";"871966"
"74986";"A045364";"PV25  ";"2014MM05";"871966";"643";"266";"665";"872631"
"74987";"A045364";"PV25  ";"2014MM06";"872631";"449";"434";"740";"873371"
"74988";"A045364";"PV25  ";"2014KW02";"871340";"1671";"901";"2031";"873371"
"74989";"A045364";"PV25  ";"2014MM07";"873371";"495";"306";"692";"874063"
"74990";"A045364";"PV25  ";"2014MM08";"874063";"464";"157";"404";"874467"
"74991";"A045364";"PV25  ";"2014MM09";"874467";"663";"175";"566";"875033"
"74992";"A045364";"PV25  ";"2014KW03";"873371";"1622";"638";"1662";"875033"
"74993";"A045364";"PV25  ";"2014MM10";"875033";"732";"303";"739";"875772"
"74994";"A045364";"PV25  ";"2014MM11";"875772";"573";"328";"765";"876537"
"74995";"A045364";"PV25  ";"2014MM12";"876537";"975";"302";"1125";"877662"
"74996";"A045364";"PV25  ";"2014KW04";"875033";"2280";"933";"2629";"877662"
"74997";"A045364";"PV25  ";"2014JJ00";"869410";"6974";"3745";"8251";"877662"
"74998";"A045364";"PV25  ";"2015MM01";"877662";"391";"176";"364";"878026"
"74999";"A045364";"PV25  ";"2015MM02";"878026";"462";"210";"486";"878512"
"75000";"A045364";"PV25  ";"2015MM03";"878512";"389";"321";"342";"878855"
"75001";"A045364";"PV25  ";"2015KW01";"877662";"1242";"707";"1192";"878855"
"75002";"A045364";"PV25  ";"2015MM04";"878855";"524";"642";"914";"879769"
"75003";"A045364";"PV25  ";"2015MM05";"879769";"257";"195";"230";"879999"
"75004";"A045364";"PV25  ";"2015MM06";"879999";"641";"559";"938";"880937"
"75005";"A045364";"PV25  ";"2015KW02";"878855";"1422";"1396";"2082";"880937"
"75006";"A045364";"PV25  ";"2015MM07";"880937";"769";"378";"862";"881800"
"75007";"A045364";"PV25  ";"2015MM08";"881800";"298";"109";"343";"882143"
"75008";"A045364";"PV25  ";"2015MM09";"882143";"455";"542";"801";"882951"
"75009";"A045364";"PV25  ";"2015KW03";"880937";"1522";"1029";"2006";"882951"
"75010";"A045364";"PV25  ";"2015MM10";"882951";"628";"225";"567";"883518"
"75011";"A045364";"PV25  ";"2015MM11";"883518";"743";"388";"709";"884227"
"75012";"A045364";"PV25  ";"2015MM12";"884227";"1157";"372";"1451";"885678"
"75013";"A045364";"PV25  ";"2015KW04";"882951";"2528";"985";"2727";"885678"
"75014";"A045364";"PV25  ";"2015JJ00";"877662";"6714";"4117";"8007";"885678"
"75015";"A045364";"PV25  ";"2016MM01";"885678";"391";"203";"428";"886106"
"75016";"A045364";"PV25  ";"2016MM02";"886106";"478";"239";"487";"886593"
"75017";"A045364";"PV25  ";"2016MM03";"886593";"633";"968";"919";"887512"
"75018";"A045364";"PV25  ";"2016KW01";"885678";"1502";"1410";"1834";"887512"
"75019";"A045364";"PV25  ";"2016MM04";"887512";"497";"185";"439";"887951"
"75020";"A045364";"PV25  ";"2016MM05";"887951";"430";"143";"480";"888431"
"75021";"A045364";"PV25  ";"2016MM06";"888431";"1180";"276";"1317";"889748"
"75022";"A045364";"PV25  ";"2016KW02";"887512";"2107";"604";"2236";"889748"
"75023";"A045364";"PV25  ";"2016MM07";"889748";"842";"267";"867";"890615"
"75024";"A045364";"PV25  ";"2016MM08";"890615";"610";"354";"896";"891511"
"75025";"A045364";"PV25  ";"2016MM09";"891511";"504";"226";"601";"892112"
"75026";"A045364";"PV25  ";"2016KW03";"889748";"1956";"847";"2364";"892112"
"75027";"A045364";"PV25  ";"2016MM10";"892112";"801";"810";"-2209";"889903"
"75028";"A045364";"PV25  ";"2016MM11";"889903";"896";"303";"-2404";"887500"
"75029";"A045364";"PV25  ";"2016MM12";"887500";"713";"212";"562";"888062"
"75030";"A045364";"PV25  ";"2016KW04";"892112";"2410";"1325";"-4051";"888062"
"75031";"A045364";"PV25  ";"2016JJ00";"885678";"7975";"4186";"2383";"888062"
"75032";"A045364";"PV25  ";"2017MM01";"888062";"463";"224";"-1657";"886405"
"75033";"A045364";"PV25  ";"2017MM02";"886405";"437";"163";"318";"886723"
"75034";"A045364";"PV25  ";"2017MM03";"886723";"1032";"140";"1070";"887794"
"75035";"A045364";"PV25  ";"2017KW01";"888062";"1932";"527";"-269";"887794"
"75036";"A045364";"PV25  ";"2017MM04";"887794";"560";"218";"555";"888349"
"75037";"A045364";"PV25  ";"2017MM05";"888349";"659";"169";"651";"889000"
"75038";"A045364";"PV25  ";"2017MM06";"889000";"695";"205";"726";"889726"
"75039";"A045364";"PV25  ";"2017KW02";"887794";"1914";"592";"1932";"889726"
"75040";"A045364";"PV25  ";"2017MM07";"889726";"890";"141";"837";"890563"
"75041";"A045364";"PV25  ";"2017MM08";"890563";"472";"129";"404";"890967"
"75042";"A045364";"PV25  ";"2017MM09";"890967";"666";"137";"612";"891579"
"75043";"A045364";"PV25  ";"2017KW03";"889726";"2028";"407";"1853";"891579"
"75044";"A045364";"PV25  ";"2017MM10";"891579";"760";"166";"823";"892402"
"75045";"A045364";"PV25  ";"2017MM11";"892402";"1007";"178";"944";"893346"
"75046";"A045364";"PV25  ";"2017MM12";"893346";"672";"235";"643";"893989"
"75047";"A045364";"PV25  ";"2017KW04";"891579";"2439";"579";"2410";"893989"
"75048";"A045364";"PV25  ";"2017JJ00";"888062";"8313";"2105";"5926";"893989"
"75049";"A045364";"PV25  ";"2018MM01";"893989";"556";"204";"605";"894594"
"75050";"A045364";"PV25  ";"2018MM02";"894594";"703";"168";"658";"895252"
"75051";"A045364";"PV25  ";"2018MM03";"895252";"619";"332";"826";"896078"
"75052";"A045364";"PV25  ";"2018KW01";"893989";"1878";"704";"2089";"896078"
"75053";"A045364";"PV25  ";"2018MM04";"896078";"507";"156";"519";"896597"
"75054";"A045364";"PV25  ";"2018MM05";"896597";"939";"323";"1046";"897645"
"75055";"A045364";"PV25  ";"2018MM06";"897645";"567";"156";"621";"898266"
"75056";"A045364";"PV25  ";"2018KW02";"896078";"2013";"635";"2186";"898266"
"75057";"A045364";"PV25  ";"2018MM07";"898266";"928";"215";"1031";"899299"
"75058";"A045364";"PV25  ";"2018MM08";"899299";"782";"218";"809";"900108"
"75059";"A045364";"PV25  ";"2018MM09";"900108";"823";"365";"1085";"901193"
"75060";"A045364";"PV25  ";"2018KW03";"898266";"2533";"798";"2925";"901193"
"75061";"A045364";"PV25  ";"2018MM10";"901193";"978";"392";"1207";"902402"
"75062";"A045364";"PV25  ";"2018MM11";"902402";"780";"242";"897";"903299"
"75063";"A045364";"PV25  ";"2018MM12";"903299";"791";"280";"-43";"903256"
"75064";"A045364";"PV25  ";"2018KW04";"901193";"2549";"914";"2061";"903256"
"75065";"A045364";"PV25  ";"2018JJ00";"893989";"8973";"3051";"9261";"903256"
"75066";"A045364";"PV25  ";"2019MM01";"903256";"639";"277";"773";"904029"
"75067";"A045364";"PV25  ";"2019MM02";"904029";"807";"201";"857";"904886"
"75068";"A045364";"PV25  ";"2019MM03";"904886";"647";"281";"751";"905637"
"75069";"A045364";"PV25  ";"2019KW01";"903256";"2093";"759";"2381";"905637"
"75070";"A045364";"PV25  ";"2019MM04";"905637";"942";"169";"978";"906615"
"75071";"A045364";"PV25  ";"2019MM05";"906615";"842";"126";"655";"907270"
"75072";"A045364";"PV25  ";"2019MM06";"907270";"904";"307";"1044";"908314"
"75073";"A045364";"PV25  ";"2019KW02";"905637";"2688";"602";"2677";"908314"
"75074";"A045364";"PV25  ";"2019MM07";"908314";"716";"216";"571";"908885"
"75075";"A045364";"PV25  ";"2019MM08";"908885";"470";"234";"541";"909426"
"75076";"A045364";"PV25  ";"2019MM09";"909426";"487";"283";"628";"910054"
"75077";"A045364";"PV25  ";"2019KW03";"908314";"1673";"733";"1740";"910054"
"75078";"A045364";"PV25  ";"2019MM10";"910054";"961";"203";"991";"911045"
"75079";"A045364";"PV25  ";"2019MM11";"911045";"797";"159";"747";"911792"
"75080";"A045364";"PV25  ";"2019MM12";"911792";"618";"136";"580";"912372"
"75081";"A045364";"PV25  ";"2019KW04";"910054";"2376";"498";"2318";"912372"
"75082";"A045364";"PV25  ";"2019JJ00";"903256";"8830";"2592";"9116";"912372"
"75083";"A045364";"PV25  ";"2020MM01";"912372";"990";"170";"966";"913338"
"75084";"A045364";"PV25  ";"2020MM02";"913338";"800";"415";"1139";"914477"
"75085";"A045364";"PV25  ";"2020MM03";"914477";"1045";"253";"1200";"915677"
"75086";"A045364";"PV25  ";"2020KW01";"912372";"2835";"838";"3305";"915677"
"75087";"A045364";"PV25  ";"2020MM04";"915677";"803";"157";"846";"916523"
"75088";"A045364";"PV25  ";"2020MM05";"916523";"795";"146";"893";"917416"
"75089";"A045364";"PV25  ";"2020MM06";"917416";"691";"196";"747";"918163"
"75090";"A045364";"PV25  ";"2020KW02";"915677";"2289";"499";"2486";"918163"
"75091";"A045364";"PV25  ";"2020MM07";"918163";"867";"152";"920";"919083"
"75092";"A045364";"PV25  ";"2020MM08";"919083";"329";"112";"365";"919448"
"75093";"A045364";"PV25  ";"2020MM09";"919448";"537";"142";"591";"920039"
"75094";"A045364";"PV25  ";"2020KW03";"918163";"1733";"406";"1876";"920039"
"75095";"A045364";"PV25  ";"2020MM10";"920039";"636";"167";"570";"920609"
"75096";"A045364";"PV26  ";"2012MM01";"528126";"162";"327";"-201";"527925"
"75097";"A045364";"PV26  ";"2012MM02";"527925";"797";"319";"1513";"529438"
"75098";"A045364";"PV26  ";"2012MM03";"529438";"181";"420";"565";"530003"
"75099";"A045364";"PV26  ";"2012KW01";"528126";"1140";"1066";"1877";"530003"
"75100";"A045364";"PV26  ";"2012MM04";"530003";"298";"111";"269";"530272"
"75101";"A045364";"PV26  ";"2012MM05";"530272";"426";"70";"396";"530668"
"75102";"A045364";"PV26  ";"2012MM06";"530668";"236";"201";"90";"530758"
"75103";"A045364";"PV26  ";"2012KW02";"530003";"960";"382";"755";"530758"
"75104";"A045364";"PV26  ";"2012MM07";"530758";"494";"201";"463";"531221"
"75105";"A045364";"PV26  ";"2012MM08";"531221";"409";"165";"579";"531800"
"75106";"A045364";"PV26  ";"2012MM09";"531800";"562";"104";"747";"532547"
"75107";"A045364";"PV26  ";"2012KW03";"530758";"1465";"470";"1789";"532547"
"75108";"A045364";"PV26  ";"2012MM10";"532547";"546";"130";"680";"533227"
"75109";"A045364";"PV26  ";"2012MM11";"533227";"1051";"213";"967";"534194"
"75110";"A045364";"PV26  ";"2012MM12";"534194";"530";"81";"401";"534595"
"75111";"A045364";"PV26  ";"2012KW04";"532547";"2127";"424";"2048";"534595"
"75112";"A045364";"PV26  ";"2012JJ00";"528126";"5692";"2342";"6469";"534595"
"75113";"A045364";"PV26  ";"2013MM01";"534595";"176";"99";"232";"534827"
"75114";"A045364";"PV26  ";"2013MM02";"534827";"172";"154";"-182";"534645"
"75115";"A045364";"PV26  ";"2013MM03";"534645";"418";"140";"-406";"534239"
"75116";"A045364";"PV26  ";"2013KW01";"534595";"766";"393";"-356";"534239"
"75117";"A045364";"PV26  ";"2013MM04";"534239";"518";"289";"704";"534943"
"75118";"A045364";"PV26  ";"2013MM05";"534943";"286";"296";"694";"535637"
"75119";"A045364";"PV26  ";"2013MM06";"535637";"303";"213";"576";"536213"
"75120";"A045364";"PV26  ";"2013KW02";"534239";"1107";"798";"1974";"536213"
"75121";"A045364";"PV26  ";"2013MM07";"536213";"289";"499";"638";"536851"
"75122";"A045364";"PV26  ";"2013MM08";"536851";"227";"87";"258";"537109"
"75123";"A045364";"PV26  ";"2013MM09";"537109";"239";"375";"634";"537743"
"75124";"A045364";"PV26  ";"2013KW03";"536213";"755";"961";"1530";"537743"
"75125";"A045364";"PV26  ";"2013MM10";"537743";"329";"290";"623";"538366"
"75126";"A045364";"PV26  ";"2013MM11";"538366";"373";"170";"131";"538497"
"75127";"A045364";"PV26  ";"2013MM12";"538497";"433";"341";"581";"539078"
"75128";"A045364";"PV26  ";"2013KW04";"537743";"1135";"801";"1335";"539078"
"75129";"A045364";"PV26  ";"2013JJ00";"534595";"3763";"2953";"4483";"539078"
"75130";"A045364";"PV26  ";"2014MM01";"539078";"240";"320";"513";"539591"
"75131";"A045364";"PV26  ";"2014MM02";"539591";"281";"312";"406";"539997"
"75132";"A045364";"PV26  ";"2014MM03";"539997";"649";"201";"800";"540797"
"75133";"A045364";"PV26  ";"2014KW01";"539078";"1170";"833";"1719";"540797"
"75134";"A045364";"PV26  ";"2014MM04";"540797";"255";"190";"-96";"540701"
"75135";"A045364";"PV26  ";"2014MM05";"540701";"176";"110";"230";"540931"
"75136";"A045364";"PV26  ";"2014MM06";"540931";"117";"120";"177";"541108"
"75137";"A045364";"PV26  ";"2014KW02";"540797";"548";"420";"311";"541108"
"75138";"A045364";"PV26  ";"2014MM07";"541108";"398";"224";"533";"541641"
"75139";"A045364";"PV26  ";"2014MM08";"541641";"134";"135";"148";"541789"
"75140";"A045364";"PV26  ";"2014MM09";"541789";"116";"68";"15";"541804"
"75141";"A045364";"PV26  ";"2014KW03";"541108";"648";"427";"696";"541804"
"75142";"A045364";"PV26  ";"2014MM10";"541804";"286";"337";"528";"542332"
"75143";"A045364";"PV26  ";"2014MM11";"542332";"357";"360";"595";"542927"
"75144";"A045364";"PV26  ";"2014MM12";"542927";"494";"76";"546";"543473"
"75145";"A045364";"PV26  ";"2014KW04";"541804";"1137";"773";"1669";"543473"
"75146";"A045364";"PV26  ";"2014JJ00";"539078";"3503";"2453";"4395";"543473"
"75147";"A045364";"PV26  ";"2015MM01";"543473";"109";"218";"181";"543654"
"75148";"A045364";"PV26  ";"2015MM02";"543654";"471";"198";"611";"544265"
"75149";"A045364";"PV26  ";"2015MM03";"544265";"211";"49";"190";"544455"
"75150";"A045364";"PV26  ";"2015KW01";"543473";"791";"465";"982";"544455"
"75151";"A045364";"PV26  ";"2015MM04";"544455";"254";"81";"226";"544681"
"75152";"A045364";"PV26  ";"2015MM05";"544681";"217";"129";"251";"544932"
"75153";"A045364";"PV26  ";"2015MM06";"544932";"538";"284";"516";"545448"
"75154";"A045364";"PV26  ";"2015KW02";"544455";"1009";"494";"993";"545448"
"75155";"A045364";"PV26  ";"2015MM07";"545448";"351";"161";"503";"545951"
"75156";"A045364";"PV26  ";"2015MM08";"545951";"97";"118";"161";"546112"
"75157";"A045364";"PV26  ";"2015MM09";"546112";"468";"78";"505";"546617"
"75158";"A045364";"PV26  ";"2015KW03";"545448";"916";"357";"1169";"546617"
"75159";"A045364";"PV26  ";"2015MM10";"546617";"599";"267";"780";"547397"
"75160";"A045364";"PV26  ";"2015MM11";"547397";"255";"121";"358";"547755"
"75161";"A045364";"PV26  ";"2015MM12";"547755";"417";"78";"359";"548114"
"75162";"A045364";"PV26  ";"2015KW04";"546617";"1271";"466";"1497";"548114"
"75163";"A045364";"PV26  ";"2015JJ00";"543473";"3987";"1782";"4641";"548114"
"75164";"A045364";"PV26  ";"2016MM01";"548114";"202";"98";"164";"548278"
"75165";"A045364";"PV26  ";"2016MM02";"548278";"131";"182";"291";"548569"
"75166";"A045364";"PV26  ";"2016MM03";"548569";"313";"174";"433";"549002"
"75167";"A045364";"PV26  ";"2016KW01";"548114";"646";"454";"888";"549002"
"75168";"A045364";"PV26  ";"2016MM04";"549002";"324";"62";"289";"549291"
"75169";"A045364";"PV26  ";"2016MM05";"549291";"320";"87";"311";"549602"
"75170";"A045364";"PV26  ";"2016MM06";"549602";"387";"119";"467";"550069"
"75171";"A045364";"PV26  ";"2016KW02";"549002";"1031";"268";"1067";"550069"
"75172";"A045364";"PV26  ";"2016MM07";"550069";"315";"168";"473";"550542"
"75173";"A045364";"PV26  ";"2016MM08";"550542";"999";"64";"667";"551209"
"75174";"A045364";"PV26  ";"2016MM09";"551209";"467";"375";"800";"552009"
"75175";"A045364";"PV26  ";"2016KW03";"550069";"1781";"607";"1940";"552009"
"75176";"A045364";"PV26  ";"2016MM10";"552009";"676";"81";"630";"552639"
"75177";"A045364";"PV26  ";"2016MM11";"552639";"375";"506";"807";"553446"
"75178";"A045364";"PV26  ";"2016MM12";"553446";"932";"115";"859";"554305"
"75179";"A045364";"PV26  ";"2016KW04";"552009";"1983";"702";"2296";"554305"
"75180";"A045364";"PV26  ";"2016JJ00";"548114";"5441";"2031";"6191";"554305"
"75181";"A045364";"PV26  ";"2017MM01";"554305";"409";"734";"-2967";"551338"
"75182";"A045364";"PV26  ";"2017MM02";"551338";"634";"291";"566";"551904"
"75183";"A045364";"PV26  ";"2017MM03";"551904";"227";"225";"265";"552169"
"75184";"A045364";"PV26  ";"2017KW01";"554305";"1270";"1250";"-2136";"552169"
"75185";"A045364";"PV26  ";"2017MM04";"552169";"429";"73";"437";"552606"
"75186";"A045364";"PV26  ";"2017MM05";"552606";"488";"274";"585";"553191"
"75187";"A045364";"PV26  ";"2017MM06";"553191";"636";"221";"749";"553940"
"75188";"A045364";"PV26  ";"2017KW02";"552169";"1553";"568";"1771";"553940"
"75189";"A045364";"PV26  ";"2017MM07";"553940";"448";"198";"389";"554329"
"75190";"A045364";"PV26  ";"2017MM08";"554329";"604";"332";"866";"555195"
"75191";"A045364";"PV26  ";"2017MM09";"555195";"243";"132";"192";"555387"
"75192";"A045364";"PV26  ";"2017KW03";"553940";"1295";"662";"1447";"555387"
"75193";"A045364";"PV26  ";"2017MM10";"555387";"543";"279";"713";"556100"
"75194";"A045364";"PV26  ";"2017MM11";"556100";"637";"208";"652";"556752"
"75195";"A045364";"PV26  ";"2017MM12";"556752";"485";"195";"812";"557564"
"75196";"A045364";"PV26  ";"2017KW04";"555387";"1665";"682";"2177";"557564"
"75197";"A045364";"PV26  ";"2017JJ00";"554305";"5783";"3162";"3259";"557564"
"75198";"A045364";"PV26  ";"2018MM01";"557564";"389";"82";"389";"557953"
"75199";"A045364";"PV26  ";"2018MM02";"557953";"208";"61";"231";"558184"
"75200";"A045364";"PV26  ";"2018MM03";"558184";"231";"75";"245";"558429"
"75201";"A045364";"PV26  ";"2018KW01";"557564";"828";"218";"865";"558429"
"75202";"A045364";"PV26  ";"2018MM04";"558429";"1007";"59";"898";"559327"
"75203";"A045364";"PV26  ";"2018MM05";"559327";"422";"82";"433";"559760"
"75204";"A045364";"PV26  ";"2018MM06";"559760";"338";"268";"515";"560275"
"75205";"A045364";"PV26  ";"2018KW02";"558429";"1767";"409";"1846";"560275"
"75206";"A045364";"PV26  ";"2018MM07";"560275";"475";"382";"813";"561088"
"75207";"A045364";"PV26  ";"2018MM08";"561088";"174";"249";"363";"561451"
"75208";"A045364";"PV26  ";"2018MM09";"561451";"329";"392";"648";"562099"
"75209";"A045364";"PV26  ";"2018KW03";"560275";"978";"1023";"1824";"562099"
"75210";"A045364";"PV26  ";"2018MM10";"562099";"679";"124";"716";"562815"
"75211";"A045364";"PV26  ";"2018MM11";"562815";"328";"115";"377";"563192"
"75212";"A045364";"PV26  ";"2018MM12";"563192";"1018";"74";"1065";"564257"
"75213";"A045364";"PV26  ";"2018KW04";"562099";"2025";"313";"2158";"564257"
"75214";"A045364";"PV26  ";"2018JJ00";"557564";"5598";"1963";"6693";"564257"
"75215";"A045364";"PV26  ";"2019MM01";"578906";"913";"87";"961";"579867"
"75216";"A045364";"PV26  ";"2019MM02";"579867";"295";"200";"402";"580269"
"75217";"A045364";"PV26  ";"2019MM03";"580269";"349";"172";"492";"580761"
"75218";"A045364";"PV26  ";"2019KW01";"578906";"1557";"459";"1855";"580761"
"75219";"A045364";"PV26  ";"2019MM04";"580761";"644";"163";"770";"581531"
"75220";"A045364";"PV26  ";"2019MM05";"581531";"631";"65";"603";"582134"
"75221";"A045364";"PV26  ";"2019MM06";"582134";"300";"319";"355";"582489"
"75222";"A045364";"PV26  ";"2019KW02";"580761";"1575";"547";"1728";"582489"
"75223";"A045364";"PV26  ";"2019MM07";"582489";"258";"300";"402";"582891"
"75224";"A045364";"PV26  ";"2019MM08";"582891";"504";"38";"512";"583403"
"75225";"A045364";"PV26  ";"2019MM09";"583403";"481";"95";"550";"583953"
"75226";"A045364";"PV26  ";"2019KW03";"582489";"1243";"433";"1464";"583953"
"75227";"A045364";"PV26  ";"2019MM10";"583953";"613";"199";"744";"584697"
"75228";"A045364";"PV26  ";"2019MM11";"584697";"349";"156";"460";"585157"
"75229";"A045364";"PV26  ";"2019MM12";"585157";"681";"152";"767";"585924"
"75230";"A045364";"PV26  ";"2019KW04";"583953";"1643";"507";"1971";"585924"
"75231";"A045364";"PV26  ";"2019JJ00";"578906";"6018";"1946";"7018";"585924"
"75232";"A045364";"PV26  ";"2020MM01";"585924";"543";"317";"748";"586672"
"75233";"A045364";"PV26  ";"2020MM02";"586672";"195";"357";"354";"587026"
"75234";"A045364";"PV26  ";"2020MM03";"587026";"517";"145";"546";"587572"
"75235";"A045364";"PV26  ";"2020KW01";"585924";"1255";"819";"1648";"587572"
"75236";"A045364";"PV26  ";"2020MM04";"587572";"612";"187";"757";"588329"
"75237";"A045364";"PV26  ";"2020MM05";"588329";"752";"193";"904";"589233"
"75238";"A045364";"PV26  ";"2020MM06";"589233";"934";"240";"1062";"590295"
"75239";"A045364";"PV26  ";"2020KW02";"587572";"2298";"620";"2723";"590295"
"75240";"A045364";"PV26  ";"2020MM07";"590295";"397";"338";"570";"590865"
"75241";"A045364";"PV26  ";"2020MM08";"590865";"359";"40";"336";"591201"
"75242";"A045364";"PV26  ";"2020MM09";"591201";"426";"142";"477";"591678"
"75243";"A045364";"PV26  ";"2020KW03";"590295";"1182";"520";"1383";"591678"
"75244";"A045364";"PV26  ";"2020MM10";"591678";"452";"145";"425";"592103"
"75245";"A045364";"PV27  ";"2012MM01";"1253527";"421";"307";"301";"1253828"
"75246";"A045364";"PV27  ";"2012MM02";"1253828";"334";"253";"477";"1254305"
"75247";"A045364";"PV27  ";"2012MM03";"1254305";"754";"676";"1163";"1255468"
"75248";"A045364";"PV27  ";"2012KW01";"1253527";"1509";"1236";"1941";"1255468"
"75249";"A045364";"PV27  ";"2012MM04";"1255468";"948";"368";"1536";"1257005"
"75250";"A045364";"PV27  ";"2012MM05";"1257005";"616";"901";"1200";"1258206"
"75251";"A045364";"PV27  ";"2012MM06";"1258206";"305";"337";"229";"1258435"
"75252";"A045364";"PV27  ";"2012KW02";"1255468";"1869";"1606";"2965";"1258435"
"75253";"A045364";"PV27  ";"2012MM07";"1258435";"1042";"270";"870";"1259305"
