"ID";"RegioS";"Perioden";"PrijsindexVerkoopprijzen_1";"OntwikkelingTOVVoorgaandePeriode_2";"OntwikkelingTOVEenJaarEerder_3";"VerkochteWoningen_4";"OntwikkelingTOVVoorgaandePeriode_5";"OntwikkelingTOVEenJaarEerder_6";"GemiddeldeVerkoopprijs_7";"TotaleWaardeVerkoopprijzen_8"
"1610";"PV27  ";"2009JJ00";"111";"-3.6";"-3.6";"22166";"-28.9";"-28.9";"273913";"6072"
"1611";"PV27  ";"2010KW01";"107.4";"-1.2";"-6.6";"5158";"-22.8";"13";"271448";"1400"
"1612";"PV27  ";"2010KW02";"108.4";"0.9";"-2";"5652";"9.6";"9.1";"276262";"1561"
"1613";"PV27  ";"2010KW03";"107.9";"-0.4";"-1.4";"5934";"5";"3.4";"282889";"1679"
"1614";"PV27  ";"2010KW04";"107.6";"-0.3";"-1";"5946";"0.2";"-11";"272498";"1620"
"1615";"PV27  ";"2010JJ00";"107.8";"-2.8";"-2.8";"22690";"2.4";"2.4";"275914";"6260"
"1616";"PV27  ";"2011KW01";"107.6";"-0.1";"0.2";"5172";"-13";"0.3";"279145";"1444"
"1617";"PV27  ";"2011KW02";"107.2";"-0.4";"-1.1";"5455";"5.5";"-3.5";"278563";"1520"
"1618";"PV27  ";"2011KW03";"106.7";"-0.4";"-1.1";"5615";"2.9";"-5.4";"288309";"1619"
"1619";"PV27  ";"2011KW04";"104.3";"-2.3";"-3.1";"5783";"3";"-2.7";"270519";"1564"
"1620";"PV27  ";"2011JJ00";"106.4";"-1.3";"-1.3";"22025";"-2.9";"-2.9";"279072";"6147"
"1621";"PV27  ";"2012KW01";"103.7";"-0.6";"-3.6";"4369";"-24.5";"-15.5";"274778";"1201"
"1622";"PV27  ";"2012KW02";"100.5";"-3";"-6.2";"6068";"38.9";"11.2";"267505";"1623"
"1623";"PV27  ";"2012KW03";"97.5";"-3";"-8.6";"4294";"-29.2";"-23.5";"248888";"1069"
"1624";"PV27  ";"2012KW04";"96.5";"-1";"-7.4";"6279";"46.2";"8.6";"246290";"1546"
"1625";"PV27  ";"2012JJ00";"99.6";"-6.4";"-6.4";"21010";"-4.6";"-4.6";"258872";"5439"
"1626";"PV27  ";"2013KW01";"93.8";"-2.8";"-9.6";"4408";"-29.8";"0.9";"242169";"1067"
"1627";"PV27  ";"2013KW02";"91.9";"-2";"-8.6";"3958";"-10.2";"-34.8";"243186";"963"
"1628";"PV27  ";"2013KW03";"92.5";"0.6";"-5.2";"5413";"36.8";"26.1";"241450";"1307"
"1629";"PV27  ";"2013KW04";"91.8";"-0.7";"-4.9";"6579";"21.5";"4.8";"245175";"1613"
"1630";"PV27  ";"2013JJ00";"92.5";"-7.1";"-7.1";"20358";"-3.1";"-3.1";"243147";"4950"
"1631";"PV27  ";"2014KW01";"93.5";"1.8";"-0.3";"5651";"-14.1";"28.2";"246091";"1391"
"1632";"PV27  ";"2014KW02";"94";"0.5";"2.3";"6721";"18.9";"69.8";"256081";"1721"
"1633";"PV27  ";"2014KW03";"96";"2.1";"3.8";"7793";"16";"44";"261905";"2041"
"1634";"PV27  ";"2014KW04";"96.4";"0.5";"5";"10060";"29.1";"52.9";"260326";"2619"
"1635";"PV27  ";"2014JJ00";"95";"2.7";"2.7";"30225";"48.5";"48.5";"257128";"7772"
"1636";"PV27  ";"2015KW01";"97.4";"0.9";"4.1";"6778";"-32.6";"19.9";"259310";"1758"
"1637";"PV27  ";"2015KW02";"99.1";"1.8";"5.4";"8284";"22.2";"23.3";"265019";"2195"
"1638";"PV27  ";"2015KW03";"101.3";"2.2";"5.5";"10097";"21.9";"29.6";"279418";"2821"
"1639";"PV27  ";"2015KW04";"102.3";"1";"6.1";"10219";"1.2";"1.6";"285363";"2916"
"1640";"PV27  ";"2015JJ00";"100";"5.3";"5.3";"35378";"17";"17";"273911";"9690"
"1641";"PV27  ";"2016KW01";"104.3";"2";"7.1";"8465";"-17.2";"24.9";"290262";"2457"
"1642";"PV27  ";"2016KW02";"106.4";"2";"7.4";"9364";"10.6";"13";"292352";"2738"
"1643";"PV27  ";"2016KW03";"110.4";"3.8";"9";"11167";"19.3";"10.6";"313974";"3506"
"1644";"PV27  ";"2016KW04";"111.7";"1.2";"9.2";"10447";"-6.4";"2.2";"306977";"3207"
"1645";"PV27  ";"2016JJ00";"108.2";"8.2";"8.2";"39443";"11.5";"11.5";"301899";"11908"
"1646";"PV27  ";"2017KW01";"115.3";"3.2";"10.5";"9541";"-8.7";"12.7";"321760";"3070"
"1647";"PV27  ";"2017KW02";"118.3";"2.6";"11.2";"9570";"0.3";"2.2";"327548";"3135"
"1648";"PV27  ";"2017KW03";"122.1";"3.2";"10.6";"10254";"7.1";"-8.2";"342898";"3516"
"1649";"PV27  ";"2017KW04";"123.5";"1.1";"10.5";"10484";"2.2";"0.4";"338835";"3552"
"1650";"PV27  ";"2017JJ00";"119.8";"10.7";"10.7";"39849";"1";"1";"333082";"13273"
"1651";"PV27  ";"2018KW01";"128.2";"3.8";"11.2";"8529";"-18.6";"-10.6";"363481";"3100"
"1652";"PV27  ";"2018KW02";"130.5";"1.8";"10.3";"8420";"-1.3";"-12";"371264";"3126"
"1653";"PV27  ";"2018KW03";"135.1";"3.5";"10.7";"9235";"9.7";"-9.9";"382173";"3529"
"1654";"PV27  ";"2018KW04";"137";"1.4";"11";"8765";"-5.1";"-16.4";"377011";"3304"
"1655";"PV27  ";"2018JJ00";"132.7";"10.8";"10.8";"34949";"-12.3";"-12.3";"373688";"13060"
"1656";"PV27  ";"2019KW01";"138.9";"1.4";"8.4";"7850";"-10.4";"-8";"389048";"3054"
"1657";"PV27  ";"2019KW02";"140.9";"1.4";"8";"8486";"8.1";"0.8";"387683";"3290"
"1658";"PV27  ";"2019KW03";"142.5";"1.1";"5.4";"9796";"15.4";"6.1";"406272";"3980"
"1659";"PV27  ";"2019KW04";"144.4";"1.3";"5.4";"9570";"-2.3";"9.2";"400806";"3836"
"1660";"PV27  ";"2019JJ00";"141.7";"6.7";"6.7";"35702";"2.2";"2.2";"396601";"14159"
"1661";"PV27  ";"2020KW01";"146.4";"1.4";"5.4";"8391";"-12.3";"6.9";"418112";"3508"
"1662";"PV27  ";"2020KW02";"149.7";"2.3";"6.3";"8486";"1.1";"0";"408679";"3468"
"1663";"PV27  ";"2020KW03";"152.7";"2";"7.2";"10166";"19.8";"3.8";"435998";"4432"
"1664";"PV28  ";"1995KW01";"42.2";;;"7164";;;"84833";"608"
"1665";"PV28  ";"1995KW02";"42.9";"1.7";;"8725";"21.8";;"88942";"776"
"1666";"PV28  ";"1995KW03";"43.8";"2.1";;"9502";"8.9";;"93579";"889"
"1667";"PV28  ";"1995KW04";"43.9";"0.3";;"10707";"12.7";;"92722";"993"
"1668";"PV28  ";"1995JJ00";"43.2";;;"36098";;;"90469";"3266"
"1669";"PV28  ";"1996KW01";"45.4";"3.3";"7.7";"8569";"-20";"19.6";"93815";"804"
"1670";"PV28  ";"1996KW02";"46.7";"3";"9";"9647";"12.6";"10.6";"98112";"946"
"1671";"PV28  ";"1996KW03";"48.2";"3.1";"10";"10589";"9.8";"11.4";"102624";"1087"
"1672";"PV28  ";"1996KW04";"49.1";"1.9";"11.8";"11152";"5.3";"4.2";"103903";"1159"
"1673";"PV28  ";"1996JJ00";"47.4";"9.6";"9.6";"39957";"10.7";"10.7";"100002";"3996"
"1674";"PV28  ";"1997KW01";"50.6";"3.1";"11.5";"8178";"-26.7";"-4.6";"101249";"828"
"1675";"PV28  ";"1997KW02";"52";"2.7";"11.2";"10140";"24";"5.1";"108971";"1105"
"1676";"PV28  ";"1997KW03";"53.7";"3.3";"11.5";"10956";"8";"3.5";"112311";"1230"
"1677";"PV28  ";"1997KW04";"54.6";"1.6";"11.2";"11586";"5.8";"3.9";"112661";"1305"
"1678";"PV28  ";"1997JJ00";"52.7";"11.4";"11.4";"40860";"2.3";"2.3";"109367";"4469"
"1679";"PV28  ";"1998KW01";"55.2";"1";"9";"9081";"-21.6";"11";"111378";"1011"
"1680";"PV28  ";"1998KW02";"57";"3.4";"9.7";"11246";"23.8";"10.9";"115537";"1299"
"1681";"PV28  ";"1998KW03";"58.7";"2.9";"9.2";"12169";"8.2";"11.1";"120802";"1470"
"1682";"PV28  ";"1998KW04";"60.1";"2.5";"10.1";"13210";"8.6";"14";"121339";"1603"
"1683";"PV28  ";"1998JJ00";"57.8";"9.5";"9.5";"45706";"11.9";"11.9";"117790";"5384"
"1684";"PV28  ";"1999KW01";"61.9";"2.9";"12.1";"9769";"-26";"7.6";"124282";"1214"
"1685";"PV28  ";"1999KW02";"64.5";"4.2";"13";"11144";"14.1";"-0.9";"130936";"1459"
"1686";"PV28  ";"1999KW03";"67.4";"4.6";"14.9";"12027";"7.9";"-1.2";"140365";"1688"
"1687";"PV28  ";"1999KW04";"70.1";"3.9";"16.6";"12477";"3.7";"-5.5";"143854";"1795"
"1688";"PV28  ";"1999JJ00";"66";"14.2";"14.2";"45417";"-0.6";"-0.6";"135551";"6156"
"1689";"PV28  ";"2000KW01";"73";"4.2";"18";"9110";"-27";"-6.7";"146848";"1338"
"1690";"PV28  ";"2000KW02";"75.8";"3.9";"17.5";"10834";"18.9";"-2.8";"154209";"1671"
"1691";"PV28  ";"2000KW03";"79.2";"4.5";"17.5";"11036";"1.9";"-8.2";"165664";"1828"
"1692";"PV28  ";"2000KW04";"81.7";"3.2";"16.7";"12099";"9.6";"-3";"167755";"2030"
"1693";"PV28  ";"2000JJ00";"77.4";"17.4";"17.4";"43079";"-5.1";"-5.1";"159392";"6866"
"1694";"PV28  ";"2001KW01";"83.3";"1.9";"14.1";"8651";"-28.5";"-5";"164612";"1424"
"1695";"PV28  ";"2001KW02";"86";"3.3";"13.5";"10857";"25.5";"0.2";"173772";"1887"
"1696";"PV28  ";"2001KW03";"88.7";"3.1";"11.9";"12108";"11.5";"9.7";"181694";"2200"
"1697";"PV28  ";"2001KW04";"89.5";"0.9";"9.5";"13073";"8";"8.1";"179152";"2342"
"1698";"PV28  ";"2001JJ00";"86.9";"12.2";"12.2";"44689";"3.7";"3.7";"175719";"7853"
"1699";"PV28  ";"2002KW01";"91.2";"1.9";"9.5";"10352";"-20.8";"19.7";"180722";"1871"
"1700";"PV28  ";"2002KW02";"92.8";"1.8";"8";"11148";"7.7";"2.7";"186624";"2080"
"1701";"PV28  ";"2002KW03";"94.2";"1.5";"6.3";"12517";"12.3";"3.4";"190976";"2390"
"1702";"PV28  ";"2002KW04";"94.1";"-0.2";"5.1";"12304";"-1.7";"-5.9";"190315";"2342"
"1703";"PV28  ";"2002JJ00";"93.1";"7.2";"7.2";"46321";"3.7";"3.7";"187461";"8683"
"1704";"PV28  ";"2003KW01";"96";"2.1";"5.3";"9457";"-23.1";"-8.6";"187692";"1775"
"1705";"PV28  ";"2003KW02";"97.1";"1.2";"4.6";"10782";"14";"-3.3";"192566";"2076"
"1706";"PV28  ";"2003KW03";"98.4";"1.3";"4.4";"11329";"5.1";"-9.5";"196474";"2226"
"1707";"PV28  ";"2003KW04";"99.3";"0.9";"5.6";"13142";"16";"6.8";"200018";"2629"
"1708";"PV28  ";"2003JJ00";"97.7";"5";"5";"44710";"-3.5";"-3.5";"194716";"8706"
"1709";"PV28  ";"2004KW01";"99.8";"0.5";"4";"9604";"-26.9";"1.6";"196160";"1884"
"1710";"PV28  ";"2004KW02";"101.2";"1.4";"4.2";"10936";"13.9";"1.4";"201682";"2206"
"1711";"PV28  ";"2004KW03";"102.9";"1.7";"4.6";"11080";"1.3";"-2.2";"204782";"2269"
"1712";"PV28  ";"2004KW04";"103.5";"0.6";"4.3";"12121";"9.4";"-7.8";"203506";"2467"
"1713";"PV28  ";"2004JJ00";"101.9";"4.2";"4.2";"43741";"-2.2";"-2.2";"201760";"8825"
"1714";"PV28  ";"2005KW01";"104.6";"1.1";"4.8";"9286";"-23.4";"-3.3";"204759";"1901"
"1715";"PV28  ";"2005KW02";"105.6";"0.9";"4.3";"11315";"21.9";"3.5";"211548";"2394"
"1716";"PV28  ";"2005KW03";"106.8";"1.2";"3.8";"12420";"9.8";"12.1";"220612";"2740"
"1717";"PV28  ";"2005KW04";"107";"0.1";"3.3";"13150";"5.9";"8.5";"214875";"2826"
"1718";"PV28  ";"2005JJ00";"106";"4.1";"4.1";"46171";"5.6";"5.6";"213568";"9861"
"1719";"PV28  ";"2006KW01";"108.6";"1.5";"3.8";"10576";"-19.6";"13.9";"218592";"2312"
"1720";"PV28  ";"2006KW02";"109.8";"1.1";"4";"11655";"10.2";"3";"223511";"2605"
"1721";"PV28  ";"2006KW03";"110.8";"1";"3.7";"11752";"0.8";"-5.4";"233253";"2741"
"1722";"PV28  ";"2006KW04";"111.3";"0.4";"4";"12148";"3.4";"-7.6";"227085";"2759"
"1723";"PV28  ";"2006JJ00";"110.1";"3.9";"3.9";"46131";"-0.1";"-0.1";"225806";"10417"
"1724";"PV28  ";"2007KW01";"112";"0.7";"3.2";"10375";"-14.6";"-1.9";"227310";"2358"
"1725";"PV28  ";"2007KW02";"113.4";"1.2";"3.3";"11232";"8.3";"-3.6";"232210";"2608"
"1726";"PV28  ";"2007KW03";"114.7";"1.2";"3.5";"11820";"5.2";"0.6";"242952";"2872"
"1727";"PV28  ";"2007KW04";"115.3";"0.5";"3.6";"12282";"3.9";"1.1";"238269";"2926"
"1728";"PV28  ";"2007JJ00";"113.9";"3.4";"3.4";"45709";"-0.9";"-0.9";"235504";"10765"
"1729";"PV28  ";"2008KW01";"116.1";"0.7";"3.7";"9276";"-24.5";"-10.6";"238665";"2214"
"1730";"PV28  ";"2008KW02";"117.1";"0.8";"3.3";"10714";"15.5";"-4.6";"237363";"2543"
"1731";"PV28  ";"2008KW03";"118.4";"1.1";"3.2";"10914";"1.9";"-7.7";"249220";"2720"
"1732";"PV28  ";"2008KW04";"117.8";"-0.5";"2.1";"10029";"-8.1";"-18.3";"242385";"2431"
"1733";"PV28  ";"2008JJ00";"117.3";"3.1";"3.1";"40933";"-10.4";"-10.4";"242050";"9908"
"1734";"PV28  ";"2009KW01";"116.6";"-0.9";"0.4";"6449";"-35.7";"-30.5";"233651";"1507"
"1735";"PV28  ";"2009KW02";"113.8";"-2.4";"-2.8";"6919";"7.3";"-35.4";"222342";"1538"
"1736";"PV28  ";"2009KW03";"112.6";"-1.1";"-4.9";"7627";"10.2";"-30.1";"224732";"1714"
"1737";"PV28  ";"2009KW04";"111.5";"-0.9";"-5.3";"8387";"10";"-16.4";"228256";"1914"
"1738";"PV28  ";"2009JJ00";"113.6";"-3.1";"-3.1";"29382";"-28.2";"-28.2";"227133";"6674"
"1739";"PV28  ";"2010KW01";"111.2";"-0.3";"-4.7";"6329";"-24.5";"-1.9";"225620";"1428"
"1740";"PV28  ";"2010KW02";"111.4";"0.2";"-2.2";"7062";"11.6";"2.1";"230482";"1628"
"1741";"PV28  ";"2010KW03";"111.5";"0.1";"-0.9";"6914";"-2.1";"-9.3";"237081";"1639"
"1742";"PV28  ";"2010KW04";"110.6";"-0.9";"-0.9";"7488";"8.3";"-10.7";"228724";"1713"
"1743";"PV28  ";"2010JJ00";"111.1";"-2.2";"-2.2";"27793";"-5.4";"-5.4";"230543";"6407"
"1744";"PV28  ";"2011KW01";"110.4";"-0.1";"-0.6";"6268";"-16.3";"-1";"231916";"1454"
"1745";"PV28  ";"2011KW02";"109.8";"-0.6";"-1.4";"6585";"5.1";"-6.8";"233960";"1541"
"1746";"PV28  ";"2011KW03";"109.4";"-0.4";"-1.9";"6530";"-0.8";"-5.6";"239956";"1567"
"1747";"PV28  ";"2011KW04";"107.3";"-2";"-3";"6945";"6.4";"-7.3";"226477";"1573"
"1748";"PV28  ";"2011JJ00";"109.2";"-1.7";"-1.7";"26328";"-5.3";"-5.3";"232987";"6134"
"1749";"PV28  ";"2012KW01";"105.5";"-1.6";"-4.4";"5312";"-23.5";"-15.3";"225592";"1198"
"1750";"PV28  ";"2012KW02";"104.3";"-1.2";"-5";"7363";"38.6";"11.8";"226513";"1668"
"1751";"PV28  ";"2012KW03";"99.9";"-4.2";"-8.7";"4899";"-33.5";"-25";"210436";"1031"
"1752";"PV28  ";"2012KW04";"98.9";"-1";"-7.7";"7343";"49.9";"5.7";"213766";"1570"
"1753";"PV28  ";"2012JJ00";"102.2";"-6.4";"-6.4";"24917";"-5.4";"-5.4";"219399";"5467"
"1754";"PV28  ";"2013KW01";"96.9";"-2";"-8.2";"5096";"-30.6";"-4.1";"207073";"1055"
"1755";"PV28  ";"2013KW02";"95.2";"-1.7";"-8.7";"4683";"-8.1";"-36.4";"208282";"975"
"1756";"PV28  ";"2013KW03";"95.7";"0.5";"-4.3";"6016";"28.5";"22.8";"215653";"1297"
"1757";"PV28  ";"2013KW04";"95.9";"0.2";"-3.1";"7321";"21.7";"-0.3";"213624";"1564"
"1758";"PV28  ";"2013JJ00";"95.9";"-6.1";"-6.1";"23116";"-7.2";"-7.2";"211626";"4892"
"1759";"PV28  ";"2014KW01";"95.8";"-0.1";"-1.2";"5971";"-18.4";"17.2";"213890";"1277"
"1760";"PV28  ";"2014KW02";"96.9";"1.1";"1.7";"6969";"16.7";"48.8";"214227";"1493"
"1761";"PV28  ";"2014KW03";"97.7";"0.9";"2.2";"8119";"16.5";"35";"220239";"1788"
"1762";"PV28  ";"2014KW04";"97.9";"0.2";"2.2";"10210";"25.8";"39.5";"219893";"2245"
"1763";"PV28  ";"2014JJ00";"97.1";"1.2";"1.2";"31269";"35.3";"35.3";"217573";"6803"
"1764";"PV28  ";"2015KW01";"98.4";"0.5";"2.7";"7427";"-27.3";"24.4";"215149";"1598"
"1765";"PV28  ";"2015KW02";"99.3";"0.9";"2.5";"8448";"13.7";"21.2";"217774";"1840"
"1766";"PV28  ";"2015KW03";"100.7";"1.4";"3.1";"10488";"24.1";"29.2";"224208";"2351"
"1767";"PV28  ";"2015KW04";"101.6";"0.9";"3.7";"11135";"6.2";"9.1";"225813";"2514"
"1768";"PV28  ";"2015JJ00";"100";"3";"3";"37498";"19.9";"19.9";"221441";"8304"
"1769";"PV28  ";"2016KW01";"102.5";"0.9";"4.2";"9338";"-16.1";"25.7";"223310";"2085"
"1770";"PV28  ";"2016KW02";"104";"1.4";"4.7";"10938";"17.1";"29.5";"231173";"2529"
"1771";"PV28  ";"2016KW03";"106.4";"2.3";"5.6";"13025";"19.1";"24.2";"235876";"3072"
"1772";"PV28  ";"2016KW04";"107.8";"1.3";"6.1";"13211";"1.4";"18.6";"235511";"3111"
"1773";"PV28  ";"2016JJ00";"105.2";"5.2";"5.2";"46512";"24";"24";"232144";"10797"
"1774";"PV28  ";"2017KW01";"110.1";"2.2";"7.4";"12390";"-6.2";"32.7";"245647";"3044"
"1775";"PV28  ";"2017KW02";"112.3";"2";"8";"12633";"2";"15.5";"249114";"3147"
"1776";"PV28  ";"2017KW03";"115.4";"2.7";"8.4";"13095";"3.7";"0.5";"259243";"3395"
"1777";"PV28  ";"2017KW04";"117.9";"2.2";"9.4";"14080";"7.5";"6.6";"261399";"3680"
"1778";"PV28  ";"2017JJ00";"113.9";"8.3";"8.3";"52198";"12.2";"12.2";"254146";"13266"
"1779";"PV28  ";"2018KW01";"121.4";"3";"10.3";"11239";"-20.2";"-9.3";"267269";"3004"
"1780";"PV28  ";"2018KW02";"124.4";"2.4";"10.7";"10964";"-2.4";"-13.2";"278705";"3056"
"1781";"PV28  ";"2018KW03";"128";"3";"11";"11952";"9";"-8.7";"288658";"3450"
"1782";"PV28  ";"2018KW04";"130";"1.6";"10.3";"11506";"-3.7";"-18.3";"286500";"3296"
"1783";"PV28  ";"2018JJ00";"126";"10.6";"10.6";"45661";"-12.5";"-12.5";"280460";"12806"
"1784";"PV28  ";"2019KW01";"132.3";"1.7";"8.9";"9787";"-14.9";"-12.9";"292846";"2866"
"1785";"PV28  ";"2019KW02";"133.1";"0.6";"7";"10683";"9.2";"-2.6";"300757";"3213"
"1786";"PV28  ";"2019KW03";"136.3";"2.4";"6.5";"12216";"14.4";"2.2";"312915";"3823"
"1787";"PV28  ";"2019KW04";"138.6";"1.7";"6.6";"12332";"1";"7.2";"311434";"3841"
"1788";"PV28  ";"2019JJ00";"135.1";"7.2";"7.2";"45018";"-1.4";"-1.4";"305261";"13742"
"1789";"PV28  ";"2020KW01";"141.5";"2.1";"7";"10606";"-14";"8.4";"325284";"3450"
"1790";"PV28  ";"2020KW02";"144.1";"1.8";"8.2";"11020";"3.9";"3.2";"328508";"3620"
"1791";"PV28  ";"2020KW03";"147.6";"2.5";"8.3";"12667";"14.9";"3.7";"338361";"4286"
"1792";"PV29  ";"1995KW01";"39.1";;;"758";;;"71403";"54"
"1793";"PV29  ";"1995KW02";"39.5";"1.1";;"887";"17";;"72100";"64"
"1794";"PV29  ";"1995KW03";"40.5";"2.5";;"1088";"22.7";;"74818";"81"
"1795";"PV29  ";"1995KW04";"41.6";"2.6";;"1235";"13.5";;"79756";"98"
"1796";"PV29  ";"1995JJ00";"40.2";;;"3968";;;"75095";"298"
"1797";"PV29  ";"1996KW01";"42.5";"2.1";"8.6";"874";"-29.2";"15.3";"76672";"67"
"1798";"PV29  ";"1996KW02";"43.5";"2.4";"10";"1128";"29.1";"27.2";"78299";"88"
"1799";"PV29  ";"1996KW03";"45";"3.5";"11.1";"1179";"4.5";"8.4";"80616";"95"
"1800";"PV29  ";"1996KW04";"45.7";"1.6";"10";"1345";"14.1";"8.9";"84586";"114"
"1801";"PV29  ";"1996JJ00";"44.2";"9.9";"9.9";"4526";"14.1";"14.1";"80457";"364"
"1802";"PV29  ";"1997KW01";"46.6";"1.8";"9.6";"1018";"-24.3";"16.5";"83736";"85"
"1803";"PV29  ";"1997KW02";"47.7";"2.4";"9.6";"1360";"33.6";"20.6";"84008";"114"
"1804";"PV29  ";"1997KW03";"48.6";"1.9";"7.9";"1367";"0.5";"15.9";"86467";"118"
"1805";"PV29  ";"1997KW04";"49.4";"1.6";"7.9";"1402";"2.6";"4.2";"91518";"128"
"1806";"PV29  ";"1997JJ00";"48";"8.7";"8.7";"5147";"13.7";"13.7";"86653";"446"
"1807";"PV29  ";"1998KW01";"49.8";"1";"7";"998";"-28.8";"-2";"92691";"93"
"1808";"PV29  ";"1998KW02";"50.6";"1.6";"6.2";"1343";"34.6";"-1.3";"88751";"119"
"1809";"PV29  ";"1998KW03";"51.7";"2.1";"6.4";"1309";"-2.5";"-4.2";"93820";"123"
"1810";"PV29  ";"1998KW04";"52.8";"2.2";"7";"1429";"9.2";"1.9";"95638";"137"
"1811";"PV29  ";"1998JJ00";"51.2";"6.7";"6.7";"5079";"-1.3";"-1.3";"92769";"471"
"1812";"PV29  ";"1999KW01";"54.6";"3.4";"9.6";"1094";"-23.4";"9.6";"94984";"104"
"1813";"PV29  ";"1999KW02";"56.2";"2.9";"11.1";"1443";"31.9";"7.4";"101608";"147"
"1814";"PV29  ";"1999KW03";"58.9";"4.7";"13.9";"1567";"8.6";"19.7";"107477";"168"
"1815";"PV29  ";"1999KW04";"60.7";"3.2";"15";"1672";"6.7";"17";"107134";"179"
"1816";"PV29  ";"1999JJ00";"57.6";"12.4";"12.4";"5776";"13.7";"13.7";"103545";"598"
"1817";"PV29  ";"2000KW01";"63.2";"4.1";"15.7";"1063";"-36.4";"-2.8";"107255";"114"
"1818";"PV29  ";"2000KW02";"65.4";"3.5";"16.3";"1230";"15.7";"-14.8";"114539";"141"
"1819";"PV29  ";"2000KW03";"68.2";"4.3";"15.8";"1289";"4.8";"-17.7";"123552";"159"
"1820";"PV29  ";"2000KW04";"69.9";"2.5";"15";"1549";"20.2";"-7.4";"125906";"195"
"1821";"PV29  ";"2000JJ00";"66.7";"15.7";"15.7";"5131";"-11.2";"-11.2";"118726";"609"
"1822";"PV29  ";"2001KW01";"72";"3";"13.9";"1087";"-29.8";"2.3";"124652";"135"
"1823";"PV29  ";"2001KW02";"73.8";"2.5";"12.8";"1401";"28.9";"13.9";"135706";"190"
"1824";"PV29  ";"2001KW03";"77";"4.4";"13";"1355";"-3.3";"5.1";"134510";"182"
"1825";"PV29  ";"2001KW04";"79.2";"2.8";"13.4";"1413";"4.3";"-8.8";"143799";"203"
"1826";"PV29  ";"2001JJ00";"75.5";"13.2";"13.2";"5256";"2.4";"2.4";"135287";"711"
"1827";"PV29  ";"2002KW01";"81.2";"2.6";"12.9";"1056";"-25.3";"-2.9";"143146";"151"
"1828";"PV29  ";"2002KW02";"81.2";"0";"10.1";"1131";"7.1";"-19.3";"148494";"168"
"1829";"PV29  ";"2002KW03";"85.6";"5.4";"11.1";"1364";"20.6";"0.7";"155272";"212"
"1830";"PV29  ";"2002KW04";"86.5";"1";"9.2";"1389";"1.8";"-1.7";"156001";"217"
"1831";"PV29  ";"2002JJ00";"83.6";"10.8";"10.8";"4940";"-6";"-6";"151333";"748"
"1832";"PV29  ";"2003KW01";"87.7";"1.4";"7.9";"957";"-31.1";"-9.4";"167176";"160"
"1833";"PV29  ";"2003KW02";"88.9";"1.5";"9.5";"1170";"22.3";"3.4";"165438";"194"
"1834";"PV29  ";"2003KW03";"90.1";"1.3";"5.3";"1275";"9";"-6.5";"166366";"212"
"1835";"PV29  ";"2003KW04";"91.9";"2";"6.3";"1421";"11.5";"2.3";"169507";"241"
"1836";"PV29  ";"2003JJ00";"89.6";"7.2";"7.2";"4823";"-2.4";"-2.4";"167227";"807"
"1837";"PV29  ";"2004KW01";"93.4";"1.7";"6.6";"911";"-35.9";"-4.8";"167965";"153"
"1838";"PV29  ";"2004KW02";"97.3";"4.1";"9.4";"1213";"33.2";"3.7";"179989";"218"
"1839";"PV29  ";"2004KW03";"97.1";"-0.1";"7.8";"1224";"0.9";"-4";"173946";"213"
"1840";"PV29  ";"2004KW04";"98.7";"1.7";"7.5";"1479";"20.8";"4.1";"181581";"269"
"1841";"PV29  ";"2004JJ00";"96.6";"7.8";"7.8";"4827";"0.1";"0.1";"176675";"853"
"1842";"PV29  ";"2005KW01";"100";"1.3";"7.1";"1103";"-25.4";"21.1";"184010";"203"
"1843";"PV29  ";"2005KW02";"102.5";"2.5";"5.4";"1267";"14.9";"4.5";"189116";"240"
"1844";"PV29  ";"2005KW03";"103.2";"0.7";"6.3";"1420";"12.1";"16";"191174";"271"
"1845";"PV29  ";"2005KW04";"104.6";"1.3";"5.9";"1593";"12.2";"7.7";"192229";"306"
"1846";"PV29  ";"2005JJ00";"102.6";"6.1";"6.1";"5383";"11.5";"11.5";"189534";"1020"
"1847";"PV29  ";"2006KW01";"106.5";"1.9";"6.5";"1154";"-27.6";"4.6";"198398";"229"
"1848";"PV29  ";"2006KW02";"107.1";"0.6";"4.5";"1251";"8.4";"-1.3";"200691";"251"
"1849";"PV29  ";"2006KW03";"109.4";"2.1";"6";"1342";"7.3";"-5.5";"199590";"268"
"1850";"PV29  ";"2006KW04";"109.6";"0.2";"4.8";"1519";"13.2";"-4.6";"199344";"303"
"1851";"PV29  ";"2006JJ00";"108.2";"5.4";"5.4";"5266";"-2.2";"-2.2";"199519";"1051"
"1852";"PV29  ";"2007KW01";"109.1";"-0.5";"2.4";"1161";"-23.6";"0.6";"199129";"231"
"1853";"PV29  ";"2007KW02";"109.9";"0.8";"2.6";"1253";"7.9";"0.2";"198417";"249"
"1854";"PV29  ";"2007KW03";"112.3";"2.1";"2.6";"1272";"1.5";"-5.2";"213256";"271"
"1855";"PV29  ";"2007KW04";"111.8";"-0.4";"2.1";"1447";"13.8";"-4.7";"201901";"292"
"1856";"PV29  ";"2007JJ00";"110.8";"2.4";"2.4";"5133";"-2.5";"-2.5";"203238";"1043"
"1857";"PV29  ";"2008KW01";"114.3";"2.2";"4.8";"1065";"-26.4";"-8.3";"207537";"221"
